N,replication,J_hat_N,se,lo,hi,covers
32,50,-3.1656509562e+01,6.1243506903e-01,-3.2856860240e+01,-3.0456158884e+01,1
32,51,-3.2940428395e+01,6.7067140596e-01,-3.4254920196e+01,-3.1625936594e+01,1
32,52,-3.1755685793e+01,6.9266290094e-01,-3.3113280132e+01,-3.0398091454e+01,1
32,53,-3.1755391166e+01,5.9548847714e-01,-3.2922527134e+01,-3.0588255197e+01,1
32,54,-3.2495602081e+01,5.8728104012e-01,-3.3646651768e+01,-3.1344552393e+01,1
32,55,-3.1489433944e+01,5.8621122016e-01,-3.2638386823e+01,-3.0340481065e+01,1
32,56,-3.1517456390e+01,6.5720737672e-01,-3.2805559179e+01,-3.0229353601e+01,1
32,57,-3.2220235439e+01,7.0536525893e-01,-3.3602725942e+01,-3.0837744935e+01,1
32,58,-3.1838717295e+01,6.3388697675e-01,-3.3081112940e+01,-3.0596321650e+01,1
32,59,-3.2533621017e+01,5.5499210823e-01,-3.3621385561e+01,-3.1445856473e+01,1
32,60,-3.1088177095e+01,5.2499991495e-01,-3.2117158021e+01,-3.0059196170e+01,1
32,61,-3.1698917915e+01,7.2582461574e-01,-3.3121508021e+01,-3.0276327809e+01,1
32,62,-3.1054468650e+01,5.9260797810e-01,-3.2215958944e+01,-2.9892978356e+01,1
32,63,-3.2194868762e+01,6.7998377793e-01,-3.3527612477e+01,-3.0862125047e+01,1
32,64,-3.2313752224e+01,5.3461487166e-01,-3.3361578118e+01,-3.1265926330e+01,1
32,65,-3.2790439454e+01,8.1576256035e-01,-3.4389304693e+01,-3.1191574216e+01,1
32,66,-3.2836035463e+01,7.2581893708e-01,-3.4258614439e+01,-3.1413456487e+01,1
32,67,-3.2200595277e+01,6.5662749528e-01,-3.3487561519e+01,-3.0913629035e+01,1
32,68,-3.1775304842e+01,6.4208448040e-01,-3.3033767299e+01,-3.0516842385e+01,1
32,69,-3.1812276708e+01,6.0570000341e-01,-3.2999426900e+01,-3.0625126516e+01,1
32,70,-3.1786744486e+01,6.2856039524e-01,-3.3018700222e+01,-3.0554788749e+01,1
32,71,-3.2227663022e+01,6.7337307081e-01,-3.3547449989e+01,-3.0907876055e+01,1
32,72,-3.1338219896e+01,6.7091743690e-01,-3.2653193909e+01,-3.0023245883e+01,1
32,73,-3.2007062666e+01,5.7431088115e-01,-3.3132691309e+01,-3.0881434023e+01,1
32,74,-3.1450689891e+01,6.0328049725e-01,-3.2633097938e+01,-3.0268281844e+01,1
32,75,-3.2960393945e+01,6.9053259778e-01,-3.4313812967e+01,-3.1606974923e+01,1
32,76,-3.2714225490e+01,7.0975147804e-01,-3.4105312825e+01,-3.1323138155e+01,1
32,77,-3.2211416079e+01,7.3898038117e-01,-3.3659791011e+01,-3.0763041147e+01,1
32,78,-3.1733499187e+01,6.0639655980e-01,-3.2922014605e+01,-3.0544983770e+01,1
32,79,-3.3252592100e+01,7.1041683927e-01,-3.4644983519e+01,-3.1860200681e+01,1
32,80,-3.1910138876e+01,6.4107806901e-01,-3.3166628802e+01,-3.0653648949e+01,1
32,81,-3.2492221388e+01,6.2008659655e-01,-3.3707568784e+01,-3.1276873991e+01,1
32,82,-3.1671638163e+01,6.5736709041e-01,-3.2960053985e+01,-3.0383222341e+01,1
32,83,-3.2497677479e+01,6.7418468064e-01,-3.3819055172e+01,-3.1176299786e+01,1
32,84,-3.2302801020e+01,7.5982856420e-01,-3.3792037641e+01,-3.0813564400e+01,1
32,85,-3.1328493921e+01,6.1948120445e-01,-3.2542654770e+01,-3.0114333071e+01,1
32,86,-3.1263126109e+01,8.1070310633e-01,-3.2852074999e+01,-2.9674177218e+01,1
32,87,-3.2080104167e+01,6.5245947300e-01,-3.3358901235e+01,-3.0801307098e+01,1
32,88,-3.2443519549e+01,5.1384177776e-01,-3.3450630927e+01,-3.1436408171e+01,1
32,89,-3.2161266867e+01,5.9003788494e-01,-3.3317719871e+01,-3.1004813863e+01,1
32,90,-3.1997607166e+01,5.6750070951e-01,-3.3109888118e+01,-3.0885326214e+01,1
32,91,-3.2721348126e+01,6.5081741460e-01,-3.3996926819e+01,-3.1445769433e+01,1
32,92,-3.1560326327e+01,6.6936021015e-01,-3.2872248232e+01,-3.0248404423e+01,1
