sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
5.755100962705748202e+01,-5.518748614682699554e+02,7.216296762168489067e+02,4.057204703627794515e+02
-7.358531250069144107e+02,-9.294718316046200925e+02,4.595984752989858180e+01,5.371508612969773822e+01
-2.783210045388051185e+03,-2.171541702013040776e+03,-7.069523856457817601e+02,1.194879205394681776e+03
2.022832820103537642e+03,2.180497160233775503e+03,1.259353801496299411e+03,1.383410973493795609e+03
2.341798124651061698e+03,1.373628760347171919e+03,2.864428172082550645e+03,1.765529519755422371e+03
-1.649650186067195591e+03,-9.465717426740302471e+02,-1.117480812378204746e+03,-7.610108490260899998e+02
-1.217114368194022973e+03,-8.394840375257917913e+02,1.377072595788955880e+02,-1.676109168630267959e+03
-1.410495028073433559e+03,-1.896765016936551547e+03,-1.370534366066683333e+03,-1.720112952478230000e+02
-2.988419905673278549e+02,-9.690516412271535955e+02,-2.363117685688160236e+03,-3.163466380827914691e+03
1.031318691740146051e+03,1.050596418886241736e+03,9.330535719473982681e+02,1.306750568938470678e+03
1.045878311251981813e+03,1.198868485170154599e+03,1.588663376295146918e+03,2.048366166463238187e+03
-2.085616902757593834e+03,-2.403170551645976957e+03,-2.009631400785806363e+03,-6.649736379902169574e+02
-1.127962569448781551e+03,-1.268983456311296322e+03,1.288627030753427789e+03,1.418445904196443735e+03
8.541780468304958731e+02,1.056749465916189365e+03,1.574364518209729340e+02,6.257702003760205116e+02
-2.502048826680774255e+03,-2.979650100665312493e+02,-8.184506972822904345e+02,-6.620720478418807033e+02
-1.115757040586521271e+03,8.408861200249666581e+02,7.945264071644759269e+02,7.696968315833073575e+02
1.008508229310887259e+03,-9.714314641141390894e+02,-1.007302850818636784e+03,-2.963451022915018257e+03
-1.740956998844627833e+03,-1.973176931818306912e+03,1.444622599590113623e+02,7.439957186302344780e+02
9.213441868575912395e+02,-1.809064410858409246e+02,-2.665775298131156887e+02,3.606667836188862566e+02
1.737849611038238208e+03,2.118363738107495010e+03,1.287931289042851404e+03,1.514544160323916003e+03
1.066942733735161937e+03,1.833617326771040098e+03,1.366263535235703102e+03,4.702897316101880278e+02
-1.469491313911489669e+03,-3.004066699693648843e+03,-1.629791625245689602e+03,-2.661239049046736909e+03
-5.887959845931378595e+02,1.969075348093901994e+02,3.451784380613222538e+02,3.239000007571303286e+01
5.248976321477628062e+02,1.368066904433377204e+03,9.616148229579542885e+02,-1.081028669190156506e+03
1.135103790672325772e+02,2.711385888457443798e+02,1.366358434674187492e+03,1.310161857143888483e+03
-8.396327364912920075e+02,-1.361859051610794268e+03,-8.916204581130435827e+02,-1.746104958856798476e+03
-3.523041012202048705e+01,8.655568631627829745e+00,-2.958803807045673580e+02,-3.926506558265828062e+02
5.800040747543765463e+01,4.821824667278415291e+02,2.476702804658969853e+03,9.655458337335439865e+02
7.654852016436702797e+02,8.854628723143832758e+01,-1.264936130332805533e+03,-1.518989837533445098e+02
-2.299029888422351632e+03,-5.885009540326718707e+02,-8.722186590209904580e+02,-4.690753423247078899e+02
9.877645839705475339e+01,2.356137803967576474e+02,4.510150479262316594e+02,1.077510243048396660e+03
-2.426839650824904766e+03,-1.350100294943680638e+03,-5.437875171235233438e+02,-5.641966712948924396e+02
2.446808504218175884e+01,4.533890055172378197e+01,1.926846016508689843e+02,-6.609572093060123734e+02
-1.130365623581313230e+03,-4.193884931454376783e+02,-8.506928807925985438e+02,-1.335111987869953737e+03
-2.265612571568728129e+01,6.783600029940134846e+02,6.038607820339386762e+02,7.267163440340955276e+02
-2.052169889579051869e+03,-1.399580546810248052e+03,-8.538133580470514516e+02,-6.415038287396891974e+02
1.532533818131271346e+03,3.039112582356319763e+02,-4.546990031663899003e+02,-1.546282882219151361e+03
-5.072556115111539157e+02,-7.353115542946761707e+02,3.499621909931589698e+02,1.160256325863301754e+02
1.135667375647353339e+02,4.852360933171003126e+02,1.174522247353290823e+03,2.779535914265725296e+02
-2.168801178604599045e+03,-2.034019532884703949e+02,5.662772063131658342e+02,2.783715452868200373e+02
5.501657776044844468e+02,-3.727375362456514267e+02,5.727628633276378878e+01,-2.420841246961295838e+03
