t,u_nominal control,u_SAA control
5.058758999999999872e+01,6.895868061360755696e+00,8.589680879823594850e+00
5.061817500000000081e+01,6.907440592557811065e+00,8.607055772253962900e+00
5.064876000000000289e+01,6.919021918597128895e+00,8.624484341669910847e+00
5.067934500000000497e+01,6.930643089440797766e+00,8.641972466291392152e+00
5.070992999999999995e+01,6.942258134738577446e+00,8.659523905786475240e+00
5.074051500000000203e+01,6.953889617954867042e+00,8.677128546104922791e+00
5.077110000000000412e+01,6.965541825933119213e+00,8.694800163661149384e+00
5.080168499999999909e+01,6.977210964738047139e+00,8.712535588067506609e+00
5.083227000000000118e+01,6.988907119685140223e+00,8.730326327365666828e+00
5.086285500000000326e+01,7.000620238370032666e+00,8.748184462813560103e+00
5.089343999999999824e+01,7.012336691732631522e+00,8.766097162997910530e+00
5.092402500000000032e+01,7.024104326354648542e+00,8.784074117757432631e+00
5.095461000000000240e+01,7.035878240095440717e+00,8.802117802941488378e+00
5.098519500000000448e+01,7.047683204170040128e+00,8.820211818599732467e+00
5.101577999999999946e+01,7.059508270080349313e+00,8.838367259616999760e+00
5.104636500000000154e+01,7.071355241055831797e+00,8.856577175320458295e+00
5.107695000000000363e+01,7.083240063760912086e+00,8.874845197502077454e+00
5.110753499999999860e+01,7.095150013544132328e+00,8.893167470681333953e+00
5.113812000000000069e+01,7.107085503543962623e+00,8.911545075703999785e+00
5.116870500000000277e+01,7.119040618319344205e+00,8.929966742285330383e+00
5.119929000000000485e+01,7.131029650676985909e+00,8.948436733948970101e+00
5.122987499999999983e+01,7.143043424308935130e+00,8.966952291595861269e+00
5.126046000000000191e+01,7.155081401081801573e+00,8.985516755136970346e+00
5.129104500000000399e+01,7.167133696882813432e+00,9.004123027996598694e+00
5.132162999999999897e+01,7.179226774188113502e+00,9.022770893565359884e+00
5.135221500000000106e+01,7.191350313617283163e+00,9.041454854198146762e+00
5.138280000000000314e+01,7.203473514798676369e+00,9.060187576951371113e+00
5.141338500000000522e+01,7.215632886917731526e+00,9.078957906022546709e+00
5.144397000000000020e+01,7.227807930712494944e+00,9.097756572224785288e+00
5.147455500000000228e+01,7.240007235576813471e+00,9.116600342220946729e+00
5.150514000000000436e+01,7.252233188568769862e+00,9.135472540479785408e+00
5.153572499999999934e+01,7.264476061130612727e+00,9.154390595010868381e+00
5.156631000000000142e+01,7.276740952124002959e+00,9.173347642528574042e+00
5.159689500000000351e+01,7.289011746751621779e+00,9.192341803574167969e+00
5.162747999999999848e+01,7.301316594729312826e+00,9.211381316400645503e+00
5.165806500000000057e+01,7.313621166804395557e+00,9.230455230093582486e+00
5.168865000000000265e+01,7.325955575145937537e+00,9.249576729658301133e+00
5.171923500000000473e+01,7.338307397902217311e+00,9.268742647983344796e+00
5.174981999999999971e+01,7.350658677887369485e+00,9.287968855572742655e+00
5.178040500000000179e+01,7.363022462745759888e+00,9.307238212181173864e+00
5.181099000000000387e+01,7.375438669582769613e+00,9.326559128643459928e+00
5.184157499999999885e+01,7.387831254280271764e+00,9.345936801234646651e+00
5.187216000000000093e+01,7.400258914304598257e+00,9.365384309199868085e+00
5.190274500000000302e+01,7.412699541149042837e+00,9.384885896423623919e+00
5.193333000000000510e+01,7.425154546622418472e+00,9.404458847855122983e+00
5.196391500000000008e+01,7.437625366145989680e+00,9.424100865006311167e+00
5.199450000000000216e+01,7.450121816745695291e+00,9.443822534094449495e+00
5.202508500000000424e+01,7.462638288959663413e+00,9.463618472858305708e+00
5.205566999999999922e+01,7.475163141636051556e+00,9.483482192607729289e+00
5.208625500000000130e+01,7.487710437555810117e+00,9.503431711363326428e+00
