t,u_nominal solution,u_SAA solution
2.332500000000000018e+00,2.939083407965971673e-01,2.920855562226736812e-01
2.339999999999999858e+00,2.945684734697312512e-01,2.927425311762668625e-01
2.347499999999999698e+00,2.952301467985727346e-01,2.934009384712349955e-01
2.354999999999999982e+00,2.958933669270183420e-01,2.940607806775882294e-01
2.362499999999999822e+00,2.965581398847229044e-01,2.947220605475462940e-01
2.370000000000000107e+00,2.972244715821662497e-01,2.953847810157486653e-01
2.377499999999999947e+00,2.978923678060536595e-01,2.960489451990563348e-01
2.384999999999999787e+00,2.985618342151017957e-01,2.967145563959369681e-01
2.392500000000000071e+00,2.992328763361852828e-01,2.973816180854656488e-01
2.399999999999999911e+00,2.999054995608650964e-01,2.980501339259445381e-01
2.407499999999999751e+00,3.005797091423114131e-01,2.987201077531177473e-01
2.415000000000000036e+00,3.012555101926125967e-01,2.993915435780052370e-01
2.422499999999999876e+00,3.019329076804939116e-01,3.000644455843938796e-01
2.429999999999999716e+00,3.026119064294457428e-01,3.007388181259728621e-01
2.437500000000000000e+00,3.032925111162398935e-01,3.014146657231256965e-01
2.444999999999999840e+00,3.039747262698623276e-01,3.020919930593861102e-01
2.452500000000000124e+00,3.046585562708722938e-01,3.027708049775869603e-01
2.459999999999999964e+00,3.053440053511337071e-01,3.034511064757201004e-01
2.467499999999999805e+00,3.060310775939873995e-01,3.041329027024800014e-01
2.475000000000000089e+00,3.067197769347974612e-01,3.048161989525648985e-01
2.482499999999999929e+00,3.074101071619104175e-01,3.055010006616997176e-01
2.489999999999999769e+00,3.081020719180075917e-01,3.061873134014411191e-01
2.497500000000000053e+00,3.087956747018321679e-01,3.068751428737517273e-01
2.504999999999999893e+00,3.094909188703010572e-01,3.075644949053699673e-01
2.512499999999999734e+00,3.101878076409769758e-01,3.082553754419861125e-01
2.520000000000000018e+00,3.108863440949098944e-01,3.089477905422501336e-01
2.527499999999999858e+00,3.115865311798087789e-01,3.096417463716439888e-01
2.534999999999999698e+00,3.122883717135667148e-01,3.103372491961788326e-01
2.542499999999999982e+00,3.129918683880915098e-01,3.110343053760056820e-01
2.549999999999999822e+00,3.136970237734544864e-01,3.117329213589197789e-01
2.557500000000000107e+00,3.144038403223156086e-01,3.124331036737967859e-01
2.564999999999999947e+00,3.151123203746523105e-01,3.131348589239290603e-01
2.572499999999999787e+00,3.158224661627286323e-01,3.138381937803395028e-01
2.580000000000000071e+00,3.165342798163067184e-01,3.145431149750591016e-01
